id,supplier_id,po_number,status,total_amount,expected_delivery_date,created_at
"47","4","DZV5C7WI","created","8897.99","2019-07-04 22:15:18","2019-06-13 18:12:48"
"48","12","H34J68KW","partially_received","16269.1","2025-02-25 08:30:32","2025-01-10 07:02:25"
"49","18","CN50P6RK","sent","98092.93","2024-08-11 10:28:43","2024-06-16 00:31:14"
"50","1","N2ZA8J1D","received","5965.66","2018-10-31 20:34:28","2018-09-11 11:14:12"
"51","15","EOXBCQH8","cancelled","29110.14","","2020-05-15 20:43:48"
"52","5","TQSNPL85","cancelled","38022.96","","2024-12-17 20:54:30"
"53","4","A4RAACOD","created","70083.15","2022-06-19 05:55:37","2022-05-12 10:13:10"
"54","14","91J3PTC9","received","61698.07","2024-06-12 21:18:43","2024-05-19 00:20:38"
"55","18","6SUQKO12","received","25515.53","2016-12-15 14:03:18","2016-12-01 18:23:37"
"56","14","MC6YP47W","cancelled","78588.95","","2024-01-01 00:36:49"
"57","18","E6YXXM8S","cancelled","17523.19","","2019-06-03 01:59:29"
"58","2","5POV6TI2","cancelled","76473.24","","2017-09-07 12:32:42"
"59","9","AKYCPCLL","sent","62729.1","2022-06-01 10:40:20","2022-04-03 19:18:49"
"60","13","GBUG8F6Z","received","94322.11","2018-11-13 10:19:34","2018-10-16 15:26:14"
"61","4","ZLTVSHB2","partially_received","8563.23","2018-11-08 13:55:52","2018-09-16 13:42:25"
"62","17","M8VL2PMC","received","71271.5","2022-02-03 13:29:25","2021-12-26 03:46:54"
"63","14","0SRDUS4U","received","73986.34","2022-12-01 09:09:37","2022-11-10 15:01:34"
"64","9","3EM6Y151","sent","45299.25","2017-10-13 00:56:41","2017-09-19 03:28:50"
"65","4","Z9I7TD9S","cancelled","72595.94","","2017-03-13 03:16:53"
"66","8","JSCB5FS7","sent","23598.5","2017-10-14 14:21:40","2017-09-27 02:07:43"
"67","12","7DVFV1A1","partially_received","25008.15","2017-11-29 01:20:52","2017-11-15 19:39:02"
"68","18","R0W8GKYV","partially_received","35636.43","2018-06-29 02:00:54","2018-06-19 22:08:45"
"69","9","5JCXTH5S","partially_received","57754.04","2025-04-22 07:11:34","2025-03-23 11:17:08"
"70","2","D1HQV3Y1","received","50510.85","2023-07-10 00:14:49","2023-05-14 12:23:36"
"71","17","HFJWBFPX","sent","20194.91","2021-02-09 13:22:07","2021-02-05 09:46:17"
"72","17","A5T7SBMR","sent","97489.77","2022-08-19 22:19:54","2022-06-25 09:36:24"
"73","9","ZRRWOE91","created","24141.89","2021-05-29 00:17:47","2021-04-12 09:48:30"
"74","20","OIN0TZCX","cancelled","80685.02","","2025-09-17 13:14:50"
"75","12","GV2TPMMD","received","95721.61","2021-08-01 09:20:31","2021-07-12 12:21:56"
"76","14","NFEQQ9YS","sent","94931.99","2022-11-19 14:01:11","2022-10-20 04:35:04"
"77","6","LSA3TEJL","created","63838.59","2023-05-03 17:32:20","2023-03-06 07:18:28"
"78","11","Q4SG1IN2","created","93455.29","2018-08-10 09:42:56","2018-08-04 08:39:18"
"79","1","DBO0M2DG","received","53768.09","2017-02-28 04:33:39","2017-02-10 22:49:15"
"80","4","EN1HDHLN","partially_received","64527.87","2020-01-10 03:39:37","2019-11-22 12:44:10"
"81","16","QHR3JFKC","partially_received","97606.12","2019-04-16 01:26:41","2019-02-24 11:01:16"
"82","1","ID2V2995","cancelled","45452.35","","2024-06-06 05:04:08"
"83","8","TAWMEZP0","received","64541.61","2021-05-02 06:13:05","2021-03-14 07:50:07"
"84","20","TEVDZTN8","partially_received","86382.22","2019-05-30 04:06:24","2019-05-08 04:01:45"
"85","6","Q101FUL7","cancelled","86811.68","","2017-11-15 08:20:44"
"86","7","GTB9I0XK","received","31647.59","2019-06-21 03:34:53","2019-05-14 15:39:41"
"87","8","B8OM00DF","cancelled","45447.32","","2022-08-25 23:15:04"
"88","5","L3VBOV3H","received","32794.84","2019-09-29 20:27:21","2019-08-12 15:11:43"
"89","12","SJQJ2ZQY","partially_received","54199.48","2021-04-30 13:04:09","2021-04-09 20:28:00"
"90","1","HSOUYAQJ","received","37074.61","2024-10-20 17:00:53","2024-09-18 01:40:32"
"91","1","4T8G6FCY","cancelled","2092.46","","2018-09-05 19:21:08"
"92","3","PRCIPLNH","cancelled","56292.08","","2022-05-24 05:43:55"
"93","10","03FO2QRQ","sent","96598.39","2022-04-09 12:14:51","2022-03-30 20:35:07"
"94","4","OWUSCQ4O","created","71350.3","2018-11-30 21:30:42","2018-10-02 02:56:32"
"95","5","DHCFN8NJ","cancelled","32420","","2017-03-15 17:13:45"
"96","13","A2XOMPX6","partially_received","62257.3","2022-04-19 07:03:31","2022-04-06 08:20:40"
"97","2","58DV6TWB","received","99811.48","2020-07-06 15:28:31","2020-06-25 11:25:05"
"98","16","PLV1LKS0","created","84646.23","2020-11-26 03:55:36","2020-10-24 15:22:29"
"99","13","M9LCO9WK","cancelled","11917.91","","2019-03-27 20:52:24"
"100","16","QYVN2TGM","created","25326.4","2017-09-10 09:47:50","2017-08-11 05:46:52"
