id,purchase_order_id,product_variant_id,quantity_ordered,quantity_received,unit_cost
"132","2","132","48","36","496.5801030485691"
"133","66","125","44","31","459.3651955094465"
"134","53","68","46","12","451.3788555544627"
"135","70","168","10","4","359.4191239059789"
"136","37","385","91","86","77.23620864396518"
"137","87","310","32","24","166.89309417624864"
"138","38","52","33","8","337.49549734715396"
"139","23","200","40","16","119.40251079391331"
"140","60","278","70","18","461.43925923311735"
"141","31","79","41","18","209.50585243294697"
"142","38","224","36","27","448.0890003683276"
"143","72","111","61","3","340.4451055663894"
"144","71","297","19","3","414.2499464378823"
"145","87","141","13","13","417.52191144653153"
"146","33","49","51","17","81.79837196445008"
"147","36","178","28","1","152.04471819380646"
"148","71","158","44","25","56.58285534733379"
"149","3","322","56","32","215.20158446781122"
"150","65","78","55","32","139.6276950824093"
"151","23","207","41","29","5.112944692255242"
"152","73","182","69","57","144.46496147064286"
"153","92","67","50","10","126.05705360642831"
"154","85","203","57","48","292.68525860248485"
"155","12","3","58","16","101.81874912462482"
"156","42","168","58","19","417.87664519485764"
"157","79","94","62","44","391.1305722218037"
"158","34","79","81","62","86.43170375021381"
"159","19","6","56","26","133.92500918103354"
"160","82","325","20","1","209.97639289178682"
"161","12","27","93","44","346.75708563725203"
"162","7","16","76","44","450.23139474916866"
"163","24","88","20","14","166.10535334815765"
"164","39","181","83","36","286.01858597484505"
"165","31","161","1","1","358.64517162751514"
"166","66","236","24","6","12.053296845433398"
"167","61","314","79","18","476.43083615623044"
"168","62","287","11","7","359.0887625827289"
"169","64","332","97","69","407.7991650314808"
"170","92","211","67","66","265.44034083071665"
"171","83","173","85","1","278.49568617286343"
"172","53","200","29","22","118.50098332142643"
"173","9","327","91","62","98.01544572233509"
"174","87","78","97","36","233.17151322357455"
"175","37","286","62","37","96.0270454840609"
"176","52","303","67","62","310.0558127873373"
"177","77","359","86","56","246.58344716114755"
"178","69","43","50","28","440.9200239614844"
"179","66","182","65","56","347.948188675403"
"180","6","350","1","0","244.5845180062317"
"181","75","200","3","0","112.3176340823905"
"182","16","328","49","26","308.20418744197445"
"183","16","367","41","14","326.985441250346"
"184","82","106","94","93","21.549025883681466"
"185","44","244","23","19","206.16327049245137"
"186","17","123","71","57","428.72342161821615"
"187","84","290","7","2","59.779064801270636"
"188","51","231","41","28","417.35975473122915"
"189","88","22","61","46","412.29851350890345"
"190","16","330","43","3","380.032864989234"
"191","93","280","75","74","229.48918958755075"
"192","67","70","63","3","450.7514139767738"
"193","85","181","69","59","324.23487226732806"
"194","17","345","6","4","167.457170435771"
"195","18","371","96","58","307.07244860764916"
"196","40","174","68","17","267.84571314566466"
"197","8","127","95","86","461.4321608142643"
"198","98","40","73","43","309.47203664047447"
"199","17","2","56","30","408.5273683117795"
"200","63","114","35","32","311.5892503607574"
"201","58","261","61","17","427.46884138243416"
"202","13","9","92","55","195.26574632375664"
"203","68","295","92","92","102.03709885548606"
"204","42","287","86","8","256.4743931287908"
"205","54","279","18","7","325.336107108306"
"206","25","103","15","3","489.9967277430023"
"207","26","37","4","2","191.77351029408726"
"208","37","63","77","67","294.86240312000825"
"209","11","291","64","54","183.33694702565592"
"210","15","78","29","18","284.5779750654059"
"211","73","174","93","0","364.4269188526704"
"212","25","154","29","7","339.1379381406038"
"213","22","39","13","12","149.0311804450296"
"214","10","120","56","49","87.93994389754954"
"215","61","198","72","64","307.50085244406455"
"216","35","124","90","84","167.28894211278728"
"217","86","265","54","40","451.13128178281556"
"218","95","50","56","22","131.14580848882576"
"219","71","83","19","1","479.20870906147303"
"220","90","368","45","42","495.8791175516259"
"221","9","120","21","7","460.3856941632731"
"222","91","78","17","8","109.24266465672419"
"223","40","215","72","61","129.64964474899162"
"224","77","344","85","65","410.5918957933312"
"225","76","268","59","18","93.55199715928951"
"226","90","72","24","7","31.13098255599058"
"227","23","198","78","62","496.97426563862297"
"228","41","388","73","11","313.7413831454468"
"229","58","114","50","44","190.6816064839561"
"230","1","362","44","1","236.84213418030254"
"231","17","146","49","43","181.99328701082933"
"232","5","132","70","18","36.96604543509294"
"233","7","57","34","19","356.930111181947"
"234","1","330","33","8","459.98952937045925"
"235","2","52","79","6","199.42223342180074"
"236","99","374","88","34","173.463114330058"
"237","77","287","73","42","317.07335829992684"
"238","99","257","36","34","157.20940973970326"
"239","66","62","49","26","261.34046398907924"
"240","91","259","69","8","153.74010740844608"
"241","96","335","80","40","79.78168492782075"
"242","42","58","25","8","41.87783757950309"
"243","26","145","33","5","125.40146994380189"
"244","17","299","69","31","326.553329682498"
"245","53","163","70","44","444.08089495479635"
"246","47","305","35","27","44.20100409218608"
"247","51","348","90","36","478.0567161355147"
"248","29","386","37","9","345.1708497675224"
"249","6","360","62","60","217.00991275138736"
"250","5","150","8","6","131.289749473911"
"251","48","304","82","81","328.11362059812967"
"252","56","194","16","0","176.2556979662743"
"253","94","339","63","58","371.6077177590604"
"254","88","201","84","53","199.4941620277619"
"255","75","278","66","50","95.65868571269857"
"256","52","227","8","4","456.7719323620676"
"257","46","111","29","7","471.64171194914985"
"258","81","364","24","21","57.32723193723105"
"259","1","309","46","45","149.89909351413846"
"260","81","56","87","18","237.97975767147597"
"261","99","153","94","87","155.06841446851786"
"262","84","251","48","0","213.4395448834575"
"263","12","374","98","73","19.07740049199139"
"264","71","61","80","58","179.53731690634078"
"265","90","26","30","5","114.92989000552657"
"266","41","50","38","2","104.67930044905685"
"267","2","55","10","10","323.27456813987015"
"268","7","71","50","22","271.82890892644247"
"269","24","70","21","6","465.73887993313434"
"270","87","338","49","9","117.36523168984199"
"271","89","159","90","15","438.01234114704204"
"272","12","182","47","44","169.0189545422411"
"273","47","348","91","76","50.046687387057865"
"274","78","314","97","59","147.89777267409838"
"275","36","195","92","79","153.78603003087082"
"276","20","78","65","3","470.0387143578614"
"277","11","2","62","9","50.83435780913469"
"278","64","312","97","0","166.04198796889494"
"279","54","130","61","16","217.312084737652"
"280","74","50","50","21","58.81153202261991"
"281","51","213","67","37","281.69299739470625"
"282","94","104","95","95","16.66602422761737"
"283","4","309","38","32","207.81694449359316"
"284","43","55","63","15","394.8554852576275"
"285","48","250","35","14","456.80548574156586"
"286","42","252","24","0","489.49080021087997"
"287","27","222","85","46","14.961867619452422"
"288","35","61","73","46","482.40467799519627"
"289","47","191","5","5","470.8600818055364"
"290","81","93","27","26","418.4104840453867"
"291","16","391","18","10","423.9561290668248"
"292","3","290","40","32","134.4452025178133"
"293","24","288","4","0","255.77208430392116"
"294","35","57","1","0","285.3048663137897"
"295","25","224","88","65","496.72748522113704"
"296","54","270","52","49","284.28341752334876"
"297","28","159","99","58","491.4686329603577"
"298","60","354","35","14","372.63316164324374"
"299","79","15","22","5","483.0494224883056"
"300","59","129","26","12","308.5212446923542"
