id,shipment_id,order_item_id,quantity
"540","682","772","11"
"541","1081","4946","20"
"542","1708","657","12"
"543","4025","2227","10"
"544","902","1168","2"
"545","3006","6880","6"
"546","4772","281","14"
"547","2867","4774","7"
"548","3965","3992","15"
"549","3883","3343","13"
"550","4530","1584","20"
"551","3718","1356","9"
"552","2546","6328","16"
"553","1424","2502","16"
"554","878","3076","17"
"555","1273","1299","19"
"556","3509","1774","7"
"557","1625","2628","3"
"558","4082","3619","2"
"559","2844","4022","2"
"560","3084","3908","17"
"561","937","3698","14"
"562","2254","6994","16"
"563","981","3886","16"
"564","2676","3687","2"
"565","4043","990","1"
"566","2709","1365","6"
"567","4681","7003","18"
"568","1143","5285","8"
"569","3693","4245","15"
"570","1565","5995","7"
"571","2016","3665","20"
"572","3611","902","17"
"573","3219","7017","6"
"574","352","7236","5"
"575","707","4396","5"
"576","4508","3814","15"
"577","4174","6108","15"
"578","1476","895","19"
"579","1674","559","9"
"580","2462","7209","8"
"581","2440","956","6"
"582","1221","2850","19"
"583","1127","5310","15"
"584","206","4978","17"
"585","293","6170","13"
"586","1550","2228","17"
"587","3132","2332","18"
"588","1061","5451","16"
"589","368","3143","13"
"590","3813","6156","11"
"591","4094","1863","4"
"592","1666","638","19"
"593","4250","551","20"
"594","1212","1045","1"
"595","649","3786","9"
"596","423","3827","7"
"597","1101","1596","12"
"598","2051","2811","17"
"599","2309","3628","15"
"600","1435","1051","5"
"601","970","885","13"
"602","2018","3271","14"
"603","3453","4783","4"
"604","2597","4970","3"
"605","3860","4301","19"
"606","3610","4474","11"
"607","4927","5865","1"
"608","334","3143","20"
"609","3472","5124","13"
"610","2397","6448","18"
"611","705","5399","16"
"612","741","457","7"
"613","1678","4656","19"
"614","4318","818","1"
"615","705","261","19"
"616","4234","4694","15"
"617","2816","5091","1"
"618","2373","4892","11"
"619","3326","6657","13"
"620","1254","5254","4"
"621","757","3922","6"
"622","1095","2793","4"
"623","2256","5843","2"
"624","4807","782","13"
"625","1185","4690","13"
"626","903","2326","20"
"627","2287","1593","14"
"628","3152","6107","18"
"629","594","5823","3"
"630","1877","3092","8"
"631","552","961","8"
"632","3358","7039","10"
"633","4877","5414","9"
"634","814","5529","11"
"635","2494","6355","17"
"636","1396","2274","7"
"637","615","6486","16"
"638","4718","5252","8"
"639","1775","2473","18"
"640","4573","4128","2"
"641","1989","1708","5"
"642","2867","2034","18"
"643","4306","4937","14"
"644","3863","4485","12"
"645","1829","2724","17"
"646","1278","1233","17"
"647","2747","5844","15"
"648","4690","5181","6"
"649","4324","2481","20"
"650","4138","4010","3"
"651","979","5652","12"
"652","2134","5988","1"
"653","4355","3274","3"
"654","571","2893","3"
"655","550","6542","11"
"656","3850","5488","3"
"657","3411","4469","4"
"658","587","5714","8"
"659","1168","4370","9"
"660","2275","5935","17"
"661","2916","7413","18"
"662","2388","1502","17"
"663","4181","3931","15"
"664","3820","576","12"
"665","3044","2109","13"
"666","1648","7306","7"
"667","4740","3637","7"
"668","2326","6428","8"
"669","4046","6103","1"
"670","2050","238","5"
"671","4983","1040","20"
"672","3331","3040","4"
"673","171","1702","2"
"674","508","456","10"
"675","2550","5876","9"
"676","4689","4342","17"
"677","4169","4637","20"
"678","1529","3558","9"
"679","469","6908","3"
"680","1957","924","12"
"681","2623","2354","6"
"682","620","5909","17"
"683","3645","2947","9"
"684","15","6623","3"
"685","3678","6724","2"
"686","4592","4326","12"
"687","2891","7401","16"
"688","886","921","12"
"689","2960","4993","6"
"690","1338","5447","13"
"691","2552","5198","13"
"692","492","947","11"
"693","3769","2661","9"
"694","1117","714","11"
"695","2601","890","2"
"696","1087","2710","9"
"697","2940","5999","20"
"698","4407","1506","19"
"699","3068","1039","13"
"700","2831","5716","15"
"701","3331","2073","17"
"702","1177","6150","15"
"703","541","1956","2"
"704","1478","6088","13"
"705","1211","5992","20"
"706","3807","4724","17"
"707","3761","6933","2"
"708","1987","6320","1"
"709","2232","3816","2"
"710","2905","4223","6"
"711","2718","3901","13"
"712","3112","2131","3"
"713","4413","3433","15"
"714","3787","2309","8"
"715","835","5187","18"
"716","1135","6027","15"
"717","3063","4795","7"
"718","2404","5896","11"
"719","4398","6152","14"
"720","900","6583","5"
"721","1717","2024","8"
"722","413","6101","16"
"723","2385","1248","1"
"724","4611","6535","13"
"725","310","1491","2"
"726","3106","2735","2"
"727","4633","2769","16"
"728","1722","2161","19"
"729","1460","6515","6"
"730","2734","5336","1"
"731","1327","4414","9"
"732","1596","1110","6"
"733","2452","4659","3"
"734","2703","5639","9"
"735","2684","1259","6"
"736","3692","3126","15"
"737","4051","3694","7"
"738","494","5260","20"
"739","95","3862","8"
"740","1597","5238","7"
"741","2767","3060","8"
"742","4376","1957","6"
"743","756","4404","8"
"744","3615","7104","10"
"745","4851","484","2"
"746","2708","1342","20"
"747","4890","4978","11"
"748","4194","1019","17"
"749","4081","2307","11"
"750","2391","7025","18"
"751","649","6170","8"
"752","388","2113","13"
"753","2936","6746","20"
"754","3729","6999","19"
"755","1058","2311","1"
"756","4782","6451","12"
"757","1184","5841","16"
"758","2202","5853","2"
"759","1618","4912","9"
"760","2250","1567","7"
"761","582","4864","13"
"762","4940","7228","15"
"763","2083","911","11"
"764","1199","2601","11"
"765","4480","3197","20"
"766","1593","6009","2"
"767","4250","918","17"
"768","820","2328","4"
"769","1843","6913","12"
"770","1561","4908","18"
"771","4450","869","3"
"772","2133","6397","19"
"773","3529","5588","17"
"774","999","1247","19"
"775","4467","6259","6"
"776","4455","4580","11"
"777","478","4959","8"
"778","4147","6654","17"
"779","3563","4546","7"
"780","3914","4788","11"
"781","2062","761","17"
"782","3831","2406","1"
"783","766","2119","14"
"784","4273","2457","17"
"785","3813","814","1"
"786","1832","6763","16"
"787","2269","5661","4"
"788","611","7286","8"
"789","2350","1581","1"
"790","200","7199","10"
"791","1704","6110","13"
"792","3670","1922","17"
"793","4774","7034","18"
"794","3726","5023","14"
"795","4596","7011","5"
"796","1889","4716","1"
"797","1918","6847","2"
"798","4517","4820","20"
"799","327","6628","3"
"800","1800","7213","2"
"801","609","5455","4"
"802","759","6225","3"
"803","4863","7043","3"
"804","3417","1583","11"
"805","4012","1929","11"
"806","4453","2822","18"
"807","4364","5518","16"
"808","79","6326","18"
"809","2418","3569","15"
"810","2248","2593","8"
"811","4538","3274","14"
"812","4260","1996","10"
"813","3723","4437","19"
"814","356","4532","5"
"815","4339","101","18"
"816","359","1363","1"
"817","4830","6804","18"
"818","4447","2307","13"
"819","2398","3938","12"
"820","3739","700","15"
"821","1080","830","17"
"822","4571","3429","10"
"823","2198","5229","1"
"824","1681","1699","1"
"825","634","2687","15"
"826","3248","2905","20"
"827","1303","4411","2"
"828","4598","7376","7"
"829","7","815","4"
"830","712","5567","11"
"831","1467","4023","14"
"832","1162","209","4"
"833","3294","3166","13"
"834","319","1949","15"
"835","2617","2267","13"
"836","2854","1524","7"
"837","4934","5261","12"
"838","1193","559","9"
"839","781","6672","13"
"840","4009","2140","1"
"841","356","6008","15"
"842","2118","7063","11"
"843","4421","3970","10"
"844","4522","3535","5"
"845","135","595","7"
"846","4565","615","19"
"847","1522","6361","17"
"848","1224","5571","15"
"849","3269","1238","11"
"850","1667","1752","3"
"851","3992","6350","11"
"852","3602","4943","17"
"853","3435","2212","14"
"854","2795","3334","8"
"855","4089","6588","4"
"856","2532","4379","20"
"857","2165","147","9"
"858","1348","6409","15"
"859","1466","5880","12"
"860","3358","1665","12"
"861","1683","2572","10"
"862","2722","2372","5"
"863","3302","3366","19"
"864","16","2670","7"
"865","1146","2160","3"
"866","4761","5540","12"
"867","4555","2221","11"
"868","4242","6701","6"
"869","3451","4985","15"
"870","1237","3895","17"
"871","3124","5949","16"
"872","1129","1692","9"
"873","4102","4954","14"
"874","1736","4327","17"
"875","4321","6342","13"
"876","143","5814","20"
"877","1046","6257","18"
"878","3646","4996","2"
"879","856","3054","9"
"880","4094","1194","1"
"881","4417","3630","12"
"882","1962","4170","7"
"883","2619","4200","1"
"884","293","6659","16"
"885","1727","4694","3"
"886","3717","1335","1"
"887","4965","6448","10"
"888","399","5068","18"
"889","4814","6741","18"
"890","3414","4097","7"
"891","206","4631","3"
"892","2190","3180","20"
"893","2561","5749","19"
"894","479","4772","12"
"895","3626","1047","17"
"896","4318","5876","2"
"897","2678","3302","3"
"898","3097","7070","13"
"899","1029","6605","5"
"900","880","6174","14"
"901","4980","1668","19"
"902","3945","6940","18"
"903","3783","4863","15"
"904","4039","2932","18"
"905","1852","5746","6"
"906","1387","5796","5"
"907","816","3411","10"
"908","1306","7043","11"
"909","3053","2925","4"
"910","3706","116","16"
"911","1721","5883","20"
"912","432","5612","7"
"913","3190","3063","19"
"914","234","692","2"
"915","1683","1625","1"
"916","4537","5730","15"
"917","4734","80","11"
"918","4396","2105","10"
"919","3868","244","5"
"920","282","1557","16"
"921","1323","6222","10"
"922","3285","1186","18"
"923","2527","6707","16"
"924","4015","450","4"
"925","2447","1149","12"
"926","1847","4075","10"
"927","147","7046","13"
"928","15","181","10"
"929","4422","4923","7"
"930","779","4494","7"
"931","3152","1016","5"
"932","4340","3979","19"
"933","3892","2775","9"
"934","782","5231","20"
"935","3189","6390","15"
"936","3940","6550","15"
"937","537","977","16"
"938","975","2200","4"
"939","2901","5186","11"
"940","4153","6342","15"
"941","2933","7176","20"
"942","3984","3318","20"
"943","1428","206","12"
"944","2455","4368","20"
"945","3143","3704","12"
"946","3529","7463","1"
"947","3332","735","4"
"948","931","5972","19"
"949","4787","243","4"
"950","1573","6539","19"
"951","2514","2601","7"
"952","542","4428","13"
"953","4686","5308","19"
"954","1201","4955","17"
"955","2556","7217","15"
"956","2243","3697","18"
"957","4227","4313","11"
"958","2423","414","20"
"959","2707","3394","20"
"960","285","3857","16"
"961","542","619","10"
"962","2023","1916","1"
"963","2003","4996","12"
"964","2068","1848","5"
"965","609","6038","19"
"966","4742","5768","2"
"967","4650","5580","15"
"968","527","483","14"
"969","115","5871","4"
"970","1848","6025","20"
"971","3567","5592","5"
"972","2705","3851","17"
"973","4730","3684","1"
"974","776","3048","17"
"975","1643","6767","16"
"976","784","1845","15"
"977","2447","363","2"
"978","4770","743","16"
"979","774","129","8"
"980","2356","1798","13"
"981","2770","7001","18"
"982","2542","3055","18"
"983","2446","133","16"
"984","1518","4117","17"
"985","1680","883","20"
"986","2711","7315","9"
"987","4647","5211","9"
"988","4040","3870","17"
"989","4374","5228","17"
"990","2014","1633","2"
"991","2040","343","10"
"992","52","4116","12"
"993","1529","4585","14"
"994","701","5656","6"
"995","1475","1125","12"
"996","2068","6403","5"
"997","2182","4871","11"
"998","1062","7377","14"
"999","1259","4780","7"
"1000","4233","5243","19"
"1001","2109","2279","3"
"1002","2370","5279","3"
"1003","4718","1553","12"
"1004","3476","2916","10"
"1005","3556","1856","14"
"1006","1582","1007","9"
"1007","4352","1065","9"
"1008","1761","513","20"
"1009","4232","1609","16"
"1010","925","4396","6"
"1011","2144","5314","8"
"1012","792","6153","6"
"1013","2859","6582","8"
"1014","1275","4360","17"
"1015","3885","4988","12"
"1016","905","1840","18"
"1017","3096","5278","8"
"1018","3913","630","12"
"1019","212","3056","8"
"1020","1173","559","19"
"1021","3609","2332","17"
"1022","4840","3795","13"
"1023","3233","6943","17"
"1024","624","3722","13"
"1025","3126","2448","17"
"1026","1654","7027","19"
"1027","974","4208","6"
"1028","468","5953","17"
"1029","4363","4237","6"
"1030","664","1784","4"
"1031","1343","592","1"
"1032","4883","148","19"
"1033","956","3349","8"
"1034","639","7039","5"
"1035","2116","3461","18"
"1036","2057","3955","8"
"1037","853","6782","5"
"1038","489","4227","10"
"1039","892","6969","9"
"1040","3938","2344","13"
"1041","2507","419","1"
"1042","2563","4570","19"
"1043","155","5532","9"
"1044","2269","7318","8"
"1045","4343","4324","9"
"1046","2760","6734","19"
"1047","4346","2292","19"
"1048","806","1770","4"
"1049","2673","4265","19"
"1050","4045","3750","8"
"1051","24","3939","11"
"1052","3384","6352","5"
"1053","663","5366","5"
"1054","2509","3789","6"
"1055","2501","4777","6"
"1056","4089","6411","13"
"1057","169","3916","3"
"1058","4156","3228","8"
"1059","3807","3476","11"
"1060","3451","2405","8"
"1061","2444","4945","5"
"1062","2383","4315","14"
"1063","333","5566","17"
"1064","2192","5362","2"
"1065","932","389","13"
"1066","3489","2525","1"
"1067","2555","4845","11"
"1068","3461","220","10"
"1069","1425","2020","15"
"1070","3537","3899","4"
"1071","3476","2031","18"
"1072","2265","1148","17"
"1073","812","121","16"
"1074","2518","6306","2"
"1075","3409","5043","2"
"1076","2693","3454","10"
"1077","3566","349","6"
"1078","3079","2205","5"
"1079","3732","529","5"
"1080","784","2664","8"
"1081","3634","2550","11"
"1082","349","1271","5"
"1083","66","3171","18"
"1084","2934","2064","18"
"1085","2838","1620","15"
"1086","4242","3209","12"
"1087","3958","2284","15"
"1088","4228","2648","7"
"1089","4608","1796","15"
"1090","2227","5577","9"
"1091","4471","185","2"
"1092","835","139","11"
"1093","4640","1665","12"
"1094","2638","5642","18"
"1095","3642","887","14"
"1096","2574","475","2"
"1097","1535","667","15"
"1098","1601","5200","16"
"1099","2257","1754","18"
"1100","2790","2831","15"
"1101","715","1861","11"
"1102","3793","4132","15"
"1103","4965","4041","11"
"1104","1545","1630","7"
"1105","2813","1531","10"
"1106","2748","3901","12"
"1107","3766","5224","14"
"1108","3615","189","5"
"1109","2772","404","14"
"1110","107","4460","20"
"1111","3208","6013","1"
"1112","692","1889","8"
"1113","3513","4889","3"
"1114","3566","1006","2"
"1115","2012","3559","6"
"1116","3501","4813","5"
"1117","4699","5175","7"
"1118","3138","3253","6"
"1119","4608","4578","1"
"1120","2095","4140","15"
"1121","3561","105","13"
"1122","759","4871","13"
"1123","3297","1903","18"
"1124","3389","198","16"
"1125","2399","2184","20"
"1126","2129","5738","4"
"1127","4623","6832","16"
"1128","2594","536","11"
"1129","2938","2591","18"
"1130","177","2579","3"
"1131","4845","4132","2"
"1132","3232","6663","10"
"1133","3479","1298","17"
"1134","4729","204","5"
"1135","1856","5548","10"
"1136","976","240","6"
"1137","2463","6959","13"
"1138","2123","6812","20"
"1139","1569","4058","9"
"1140","2330","1970","9"
"1141","1952","2822","9"
"1142","1234","802","5"
"1143","3429","4124","18"
"1144","3843","1275","13"
"1145","3143","573","5"
"1146","302","4676","13"
"1147","2962","3800","7"
"1148","2749","1688","1"
"1149","2706","4461","1"
"1150","3580","3204","13"
"1151","1374","7294","19"
"1152","2676","2662","14"
"1153","2816","1086","18"
"1154","598","4348","11"
"1155","375","6219","7"
"1156","2614","2701","3"
"1157","42","4675","8"
"1158","1248","6209","20"
"1159","4658","4602","1"
"1160","970","7379","15"
"1161","4512","2107","19"
"1162","1083","5085","9"
"1163","2093","6641","11"
"1164","1670","7158","11"
"1165","1141","4296","20"
"1166","4624","6463","7"
"1167","1597","1501","20"
"1168","1728","4634","7"
"1169","765","3848","7"
"1170","1089","5688","5"
"1171","3930","6370","9"
"1172","1361","161","2"
"1173","3787","1141","11"
"1174","3213","2622","2"
"1175","1170","2320","14"
"1176","969","840","17"
"1177","4221","7218","4"
"1178","3198","5058","18"
"1179","1652","7148","10"
"1180","1982","5544","15"
"1181","746","3362","17"
"1182","3934","1891","12"
